,ESTACION,daily_avg_gradual,mean_valid_2022,mean_all_2022,PUNTO_MUESTREO_CROP,geometry,lat,lon
0,4,0.22229448410084623,0.21716279069768146,0.22724939613526574,28079004,POINT (-3.7122567 40.4238823),40.4238823,-3.7122567
1,8,0.28891855071889333,0.2884327067235565,0.29260273972602735,28079008,POINT (-3.6823158 40.4215533),40.4215533,-3.6823158
2,35,0.43158073909579314,0.43488065251293045,0.4535616438356165,28079035,POINT (-3.7031662 40.4192091),40.4192091,-3.7031662
3,56,0.2596057180974094,0.2679768358797389,0.2656392694063927,28079056,POINT (-3.7187679 40.3850336),40.3850336,-3.7187679
