,ESTACION,daily_avg_gradual,mean_valid_2022,mean_all_2022,PUNTO_MUESTREO_CROP,geometry,lat,lon
0,4,8.594322042542071,8.874057315233786,9.59657738095238,28079004,POINT (-3.7122567 40.4238823),40.4238823,-3.7122567
1,8,11.384747566996635,11.33341003221353,12.071575342465753,28079008,POINT (-3.6823158 40.4215533),40.4215533,-3.6823158
2,11,9.159426663557491,9.142479604734,9.805593607305935,28079011,POINT (-3.6773491 40.4514734),40.4514734,-3.6773491
3,16,9.15227247981774,9.90358958068615,10.468592171717171,28079016,POINT (-3.6392422 40.4400457),40.4400457,-3.6392422
4,17,21.354659300212507,21.16217150760719,22.240182648401827,28079017,POINT (-3.7133167 40.347147),40.347147,-3.7133167
5,18,9.087563959539866,9.025109421792214,9.67054794520548,28079018,POINT (-3.7318356 40.3947825),40.3947825,-3.7318356
6,24,3.4666085352451863,3.453903990746096,4.034226190476191,28079024,POINT (-3.7473445 40.4193577),40.4193577,-3.7473445
7,27,10.555900449723644,10.52083813032466,11.367351598173515,28079027,POINT (-3.5800258 40.4769179),40.4769179,-3.5800258
8,35,10.793143834952275,10.678248783877693,11.3,28079035,POINT (-3.7031662 40.4192091),40.4192091,-3.7031662
9,36,8.440124059797535,8.591824644549764,9.178169014084506,28079036,POINT (-3.6453104 40.4079517),40.4079517,-3.6453104
10,38,11.57867252089114,11.498907669311256,12.3162100456621,28079038,POINT (-3.7071303 40.4455439),40.4455439,-3.7071303
11,39,11.069809042675383,10.977351513750866,12.21837899543379,28079039,POINT (-3.7115364 40.4782322),40.4782322,-3.7115364
12,40,9.906490297765655,9.82814474439977,10.568721461187215,28079040,POINT (-3.6515286 40.3881478),40.3881478,-3.6515286
13,47,11.555282444473965,11.58213623725672,12.32174012855831,28079047,POINT (-3.6868138 40.3980991),40.3980991,-3.6868138
14,48,5.8693137447267745,5.8565517241379315,6.508904109589041,28079048,POINT (-3.6903729 40.4398904),40.4398904,-3.6903729
15,49,5.012207736161148,4.974195788012034,5.421689497716895,28079049,POINT (-3.6824999 40.4144444),40.4144444,-3.6824999
16,50,9.826068026747068,9.757149446494465,10.836301369863014,28079050,POINT (-3.6887449 40.4655841),40.4655841,-3.6887449
17,54,12.457141377584803,12.415696669355768,13.602739726027398,28079054,POINT (-3.6121394 40.3730118),40.3730118,-3.6121394
18,55,12.713960083865564,12.674138937536485,13.28824200913242,28079055,POINT (-3.5805649 40.4623628),40.4623628,-3.5805649
19,56,21.013123624628708,20.937327506899724,21.554223744292237,28079056,POINT (-3.7187679 40.3850336),40.3850336,-3.7187679
20,57,7.189792614360169,7.155152627955015,7.964383561643835,28079057,POINT (-3.6605173 40.4942012),40.4942012,-3.6605173
21,58,3.331676312950765,3.322047515207162,4.050228310502283,28079058,POINT (-3.7746101 40.5180701),40.5180701,-3.7746101
22,59,5.7178477354917865,5.693950177935943,6.449657534246575,28079059,POINT (-3.6163407 40.4607255),40.4607255,-3.6163407
23,60,5.336294625747665,5.304417670682731,6.063926940639269,28079060,POINT (-3.6897308 40.5005477),40.5005477,-3.6897308
