,ESTACION,daily_avg_gradual,mean_valid_2022,mean_all_2022,PUNTO_MUESTREO_CROP,geometry,lat,lon
0,8,9.726784894444982,9.725495411623886,14.075570776255708,28079008,POINT (-3.6823158 40.4215533),40.4215533,-3.6823158
1,24,9.218190297536275,9.190891135122575,9.180631868131869,28079024,POINT (-3.7473445 40.4193577),40.4193577,-3.7473445
2,38,10.017180051994462,9.730400755633518,11.200114155251141,28079038,POINT (-3.7071303 40.4455439),40.4455439,-3.7071303
3,47,9.223561426564919,9.334303736050462,9.67219152854512,28079047,POINT (-3.6868138 40.3980991),40.3980991,-3.6868138
4,48,9.337441900731838,9.369394359685622,9.404908675799087,28079048,POINT (-3.6903729 40.4398904),40.4398904,-3.6903729
5,50,9.058817053594103,8.769513090286274,9.528162511542012,28079050,POINT (-3.6887449 40.4655841),40.4655841,-3.6887449
6,56,11.021905899593156,11.040996123575708,11.646689497716896,28079056,POINT (-3.7187679 40.3850336),40.3850336,-3.7187679
7,57,8.162041708177464,8.199117100371748,8.118150684931507,28079057,POINT (-3.6605173 40.4942012),40.4942012,-3.6605173
